國語,#genre#
陰陽交鋒連環復仇 重燃經典功夫電影🔥🔥🔥｜鬼見愁 (Sorrowful to a Ghost)｜郭南宏導演｜張清清｜江彬｜易原｜馬驥｜魏蘇｜國語中字｜8號電影院 HK Movie｜美亞｜萬王之劍,https://www.youtube.com/watch?v=EbFyuq8fGxM
諜血暴力美學 杜琪峯導演｜諜血黃埔灘 (國語) The Betrayal｜鄭浩南｜劉淑華｜林立三｜羅慧娟｜屈寶燕｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=_D_LtNB--vU
功夫武打電影鉅作🎬正邪對決 36式必殺技全解析｜迷拳36招 (The 36 Deadly Style)｜殿堂級功夫導演郭南宏｜張詠詠｜龍世家｜威龍｜黃正利｜國語中字｜8號電影院 HK Movie｜美亞,https://www.youtube.com/watch?v=9v0_S0iZhQw
曾志偉監製 KUSO喜劇 挽救電視台大作戰｜笑星撞地球 (國語) Sunshine Friends｜曾志偉｜林敏聰｜廖偉雄｜李美鳳｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=sLDtqC9iLhw
香港從未正式放映 李嘉欣首部演出電影｜救命宣言 (國語) Doctor's Heart｜李嘉欣｜鄭浩南｜任達華｜董驃｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01｜1990,https://www.youtube.com/watch?v=teW9bGmNA0A
張國榮 陳百祥 超爆笑愛情喜劇｜求愛反斗星 (國語) Crazy Romance｜張國榮｜張艾嘉｜陳百祥｜胡大為｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01｜1985,https://www.youtube.com/watch?v=0Ze8zEb64RM
忌廉溝鮮奶 (國語) Cream, Soda and Milk｜葉德嫻｜胡楓｜嚴秋華｜艾迪｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=blRjFj9aJYA
經典偷腥愛情喜劇 鍾鎮濤X李美鳳｜偷情先生 (國語) City Squeeze｜鍾鎮濤｜李美鳳｜黃霑｜沈殿霞｜ENG／繁／簡CC字幕｜8號電影院 HK Movie｜香港電影01,https://www.youtube.com/watch?v=1ax13aCFSKY
偵探+動作+喜劇 絕無冷場｜有FRIEND冇驚 (國語) Winner Takes All｜鄧光榮｜鄭文雅｜馮淬帆｜張國柱｜周比利｜國語配音｜8號電影院HK Movie｜香港電影01,https://www.youtube.com/watch?v=A0AsFV3cfNY
三大實力派演員飆演技 三角關係酸甜苦辣｜歲月情真 (國語) The Days Those Were｜邵美琪｜吳鎮宇｜林保怡｜梁葆貞｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=4A6lYd0_TIw
1974年轟動全港 跑馬地紙盒藏屍案 改編電影｜箱屍奇案 (國語) Justice Is Blind｜廖偉雄｜商天娥｜陳蕊｜黎漢持｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=vQ2KneCQbWo
馬浚偉X楊思琦 主演 三個命運一條線 一段愛情一念間｜懸案追兇 (國語) Dark Shadow｜馬浚偉｜楊思琦｜于洋｜歐錦棠｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=VHyibifbdAM
黑皮與白牙(Untold Story) + 白色酢醬草(Edelweiss)｜屈中恆、顧寶明、黃坤玄、蕭紅梅、苗僑偉、楊麗音｜國語中字｜8號電影院 HK Movie｜美亞電影 Mei Ah,https://www.youtube.com/watch?v=mM-uWb6U6Jw
宣萱 盛世美顏 應召女郎的童話故事 ｜瑪莉的抉擇 (國語) Mary's Choice｜宣萱｜林保怡｜林利｜黎耀祥｜國語中字｜電視電影｜8號電影院 HK Movie,https://www.youtube.com/watch?v=7_vfn-ObH9M
萬梓良X苗僑偉 超青澀演出｜一哥 (國語) The Big Brother｜萬梓良｜苗僑偉｜任達華｜朱寶意｜ENG／繁／簡CC字幕｜8號電影院HK Movie｜香港電影01,https://www.youtube.com/watch?v=GRC7ZSnJRGs
